Longitude,Latitude,Month,pr_ab,x,y
-117.897255,34.00830300000002,4,1,194225.33640426036,-443092.0206079525
-117.867834,33.74557300000002,4,1,197597.64133252666,-472162.5530192889
-117.79670399999999,34.132867999999995,4,1,203190.13508265352,-429066.8655844126
-117.322824,34.06275799999999,4,1,247100.85349719427,-435716.4584504543
-115.57431000000001,32.804884999999985,4,1,414899.2113521447,-568950.2478624312
-115.522076,32.97207000000003,4,1,418917.9230227663,-550222.1079363069
-115.62034100000001,33.03954799999995,4,1,409386.6061102947,-543184.0319571565
-115.550814,32.97709600000004,4,1,416205.3334876738,-549792.5550582027
-119.86725799999999,36.74044099999999,4,1,11837.210277387898,-141824.3104946888
-119.765739,36.888415,4,1,20849.596789713647,-125359.67952993
-119.76198900000001,36.89235299999999,4,1,21182.25460038151,-124921.13636203948
-119.68028,36.74639800000001,4,1,28508.717594391335,-141122.2573494059
-119.30496900000001,36.305617999999996,4,1,62333.00485277016,-189929.06107638357
-117.95527800000002,33.75666699999999,4,1,189468.5695336609,-471111.1146102529
-117.91566399999999,34.03833199999999,4,1,192451.98394233498,-439799.4224912487
-117.913504,33.93887100000001,4,1,192894.1744900895,-450824.647164247
-117.866912,34.09280000000006,4,1,196816.64756126568,-433658.7332255752
-117.503925,34.040127999999974,4,1,230455.5090332386,-438681.9451114116
-117.34421100000002,34.15417600000002,4,1,244843.301161609,-425634.4591618972
-117.0089162,32.810040399999934,4,1,280445.3297426396,-573640.7956070602
-115.62438400000002,33.033417999999976,4,1,409040.29570563656,-543879.916978409
-115.5751,32.84499100000001,4,1,414617.9422272509,-564516.4716023039
-115.558348,32.793075,4,1,416455.77421635715,-570186.8327187253
-115.51470500000002,32.67469299999993,4,1,421164.77732013405,-583089.5344480579
-115.49233699999999,32.667097999999996,4,1,423303.49846836756,-583829.9801894706
-115.38776800000001,32.817169000000014,4,1,432307.3887240047,-566757.6677683173
-119.83316899999998,36.53800299999999,4,1,14916.697372315088,-164318.4888174762
-119.66520500000001,36.75807699999999,4,1,29848.332166374836,-139819.5520465891
-119.32097200000001,36.62880600000002,4,1,60640.576707133965,-154022.6856390778
-119.295898,36.53759500000004,4,1,62955.04808318028,-164143.18751990562
-118.06136400000001,34.17091200000004,4,1,178700.3489893043,-425380.16185145034
-117.970959,34.14710099999999,4,1,187089.0057324207,-427846.8618826489
-117.704187,34.02210799999998,4,1,212018.06908684177,-441147.5078853527
-117.65041000000001,34.05830399999999,4,1,216883.84801676648,-437011.9771960373
-117.40431099999999,34.205022000000014,4,1,239149.51503909938,-420148.9719276354
-117.130174,33.82448099999998,4,1,265676.9160666609,-461612.8120602607
-117.12061000000001,33.84333199999996,4,1,266498.5559125513,-459496.3228833461
-117.11672,33.83630000000003,4,1,266882.19347526255,-460264.8875547936
-119.83769999999998,36.818976,4,1,14458.140601914647,-133091.24006133946
-119.706539,36.817974000000014,4,1,26142.66923970661,-133174.4292685059
-119.69094999999997,36.871330999999955,4,1,27512.07260347198,-127239.46516043646
-119.26992400000002,36.34914200000004,4,1,65438.67696461881,-185068.8934631641
-119.144631,36.30445200000001,4,1,76713.54860425343,-189940.99088522373
-118.15882600000002,34.20328900000003,4,1,169647.8943411256,-421967.81932076206
-118.03710400000001,34.11153599999999,4,1,181072.6580213873,-431919.8572736294
-117.993889,34.06305599999999,4,1,185172.36259042504,-437213.2532942295
-117.939514,34.15019700000001,4,1,189980.47760938006,-427440.9549413896
-117.41012099999999,33.96187800000002,4,1,239351.12779975793,-447126.09956546733
-115.55885000000002,32.831984,4,1,416206.9262854114,-565884.3436837769
-115.513554,33.120506,4,1,418936.6894145638,-533757.2563140146
-115.48983600000001,32.66582199999999,4,1,423544.90299844806,-583959.9432833991
-115.374937,32.81922199999999,4,1,433498.0031786408,-566471.9563821582
-115.27416700000002,32.77388900000005,4,1,443185.426522109,-571020.6789766527
-120.049455,36.721960999999965,4,1,-4411.296715024439,-143885.49972763704
-119.804362,36.79659099999997,4,1,17433.117025051844,-135573.64569917647
-119.80327000000001,36.78013700000003,4,1,17534.21276706727,-137402.258238425
-119.341086,36.34901099999999,4,1,59060.43718575342,-185130.20064665517
-119.340753,36.334422000000025,4,1,59101.555959056874,-186751.1914060153
-118.04833300000001,34.118333000000014,4,1,180021.43228153914,-431187.3611000823
-117.88734100000002,34.143133999999996,4,1,194807.5722785618,-428118.47729264386
-117.970977,34.13199899999997,4,1,187123.20615795394,-429521.9087856342
-117.947737,34.061344,4,1,189435.81805130982,-437311.951161013
-119.72249200000002,36.72665599999998,4,1,24751.20610072583,-143328.33429882163
-119.885914,36.819978,4,1,10162.9532118478,-132986.17697552452
-119.650198,36.36566400000002,4,1,31347.114750243167,-183427.10052652657
-119.215994,36.30513999999996,4,1,70312.89433026654,-189919.90143511398
-117.911352,34.126857999999984,4,1,192633.68148853557,-429972.71094654547
-117.539532,33.93416799999999,4,1,227473.76123863074,-450517.08977637766
-117.37270700000002,33.984162000000055,4,1,242739.4787922903,-444560.18849334633
-117.29759,34.05626099999999,4,1,249449.8397594358,-436370.7977717025
-119.878096,36.79444900000001,4,1,10863.031573930999,-135822.8119297414
-119.679856,36.799810999999984,4,1,28526.49197085223,-135185.49688449502
-119.646343,36.86424099999994,4,1,31485.9560487852,-128013.62299033394
-119.641586,36.35327199999996,4,1,32124.073162468372,-184801.30729107652
-119.27788400000001,36.537370999999986,4,1,64565.868561325275,-164155.96400772175
-119.277804,36.522890999999994,4,1,64585.27904921417,-165765.12515816232
-119.145667,35.40248699999996,4,1,77523.48983250005,-290143.8777846801
-118.343547,33.97088899999998,4,1,153079.7676230163,-448058.47641472984
-118.32343300000001,33.87618599999997,4,1,155124.14682976794,-458528.0145186917
-118.14597599999999,34.06974399999999,4,1,171121.42277005792,-436757.1118258084
-118.14512399999998,34.098641000000015,4,1,171137.34498986197,-433550.5985645079
-118.104111,34.09812899999997,4,1,174921.98944295783,-433532.5781258079
-118.040981,34.164015000000006,4,1,180594.76209250253,-426106.5599845946
-118.00214399999999,34.148705000000035,4,1,184210.2664267525,-427730.00562264957
-117.993699,34.12189099999999,4,1,185051.76594074868,-430687.5974219246
-117.966522,33.94500200000001,4,1,187978.9141835346,-450251.2787108142
-117.955886,34.04711699999999,4,1,188717.7684613155,-438906.01033157343
-117.89849300000002,34.10216599999999,4,1,193880.17904404615,-432685.0528156166
-117.878892,34.027354999999986,4,1,195873.9055927101,-440941.44943933
-117.724328,34.126532000000026,4,1,209880.3189986166,-429611.90371017344
-117.71071000000002,34.09334999999995,4,1,211224.9348653651,-433261.62079110695
-117.6275,34.01999999999999,4,1,219104.4995325055,-441206.9067989383
-117.387358,33.96986299999999,4,1,241429.8988915551,-446183.0340060098
-120.08058799999999,36.73203099999999,4,1,-7187.294669145743,-142764.33803202305
-119.78798,36.31114,4,1,19013.47107564786,-189522.82151278527
-119.668428,36.346041999999954,4,1,29721.080059770273,-185613.52061493462
-119.34068999999998,36.320067000000044,4,1,59118.2954554221,-188346.33665082604
-119.323195,36.349227,4,1,60663.8650599148,-185094.89468214847
-119.29578700000002,36.52305699999997,4,1,62976.97318025287,-165758.77755104797
-119.21609,36.29066100000005,4,1,70317.58643467202,-191528.89819545113
-119.145355,36.278877,4,1,76674.23395936216,-192783.4774168632
